movieId,userId,tag,timestamp,tag_datetime
471,474,hula hoop,1137375547,2006-01-15T17:39:07.000-08:00
1088,474,dance,1138306856,2006-01-26T12:20:56.000-08:00
1088,474,music,1138306856,2006-01-26T12:20:56.000-08:00
1580,474,aliens,1137205519,2006-01-13T18:25:19.000-08:00
1645,474,lawyers,1137374095,2006-01-15T17:14:55.000-08:00
1959,474,adultery,1138031923,2006-01-23T07:58:43.000-08:00
1959,474,africa,1138031923,2006-01-23T07:58:43.000-08:00
2122,474,stephen king,1137373696,2006-01-15T17:08:16.000-08:00
3175,474,spoof,1138032315,2006-01-23T08:05:15.000-08:00
6466,474,in netflix queue,1137202027,2006-01-13T17:27:07.000-08:00
6620,474,cancer,1137205715,2006-01-13T18:28:35.000-08:00
7833,474,nick and nora charles,1137201661,2006-01-13T17:21:01.000-08:00
8638,474,generation x,1138039967,2006-01-23T10:12:47.000-08:00
2387,125,dark comedy,1474382225,2016-09-20T07:37:05.000-07:00
2387,125,dark humor,1474382223,2016-09-20T07:37:03.000-07:00
48780,226,ummarti2006,1161615435,2006-10-23T07:57:15.000-07:00
858,474,mafia,1137180955,2006-01-13T11:35:55.000-08:00
1025,474,disney,1137375959,2006-01-15T17:45:59.000-08:00
1025,474,king arthur,1137375959,2006-01-15T17:45:59.000-08:00
1084,474,1920s,1138137844,2006-01-24T13:24:04.000-08:00
1084,474,gangsters,1138137844,2006-01-24T13:24:04.000-08:00
1721,474,shipwreck,1138031879,2006-01-23T07:57:59.000-08:00
3475,474,class,1138032413,2006-01-23T08:06:53.000-08:00
4190,474,preacher,1137520919,2006-01-17T10:01:59.000-08:00
4190,474,religion,1137520919,2006-01-17T10:01:59.000-08:00
6773,474,biking,1138307369,2006-01-26T12:29:29.000-08:00
1721,537,romance,1424141922,2015-02-16T18:58:42.000-08:00
69481,537,war,1424144802,2015-02-16T19:46:42.000-08:00
48780,567,atmospheric,1525286470,2018-05-02T11:41:10.000-07:00
48780,567,enigmatic,1525286468,2018-05-02T11:41:08.000-07:00
540,573,bad,1186588897,2007-08-08T09:01:37.000-07:00
82459,318,atmospheric,1300485463,2011-03-18T14:57:43.000-07:00
82459,318,coen brothers,1300485477,2011-03-18T14:57:57.000-07:00
82459,318,jeff bridges,1300485479,2011-03-18T14:57:59.000-07:00
82459,318,matt damon,1300485480,2011-03-18T14:58:00.000-07:00
82459,318,predictable,1300485405,2011-03-18T14:56:45.000-07:00
31,474,high school,1137375502,2006-01-15T17:38:22.000-08:00
31,474,teacher,1137375502,2006-01-15T17:38:22.000-08:00
516,474,military,1137374250,2006-01-15T17:17:30.000-08:00
1270,474,time travel,1137202832,2006-01-13T17:40:32.000-08:00
1303,474,india,1138031736,2006-01-23T07:55:36.000-08:00
1650,474,henry james,1138031883,2006-01-23T07:58:03.000-08:00
2572,474,shakespeare sort of,1137374893,2006-01-15T17:28:13.000-08:00
3000,474,anime,1138032418,2006-01-23T08:06:58.000-08:00
4489,474,africa,1137766266,2006-01-20T06:11:06.000-08:00
4489,474,immigrants,1137374636,2006-01-15T17:23:56.000-08:00
2393,477,cameo:whoopi goldberg,1242278473,2009-05-13T22:21:13.000-07:00
2393,477,space opera,1242278463,2009-05-13T22:21:03.000-07:00
2393,477,star trek,1242278464,2009-05-13T22:21:04.000-07:00
3000,477,adventure,1241396438,2009-05-03T17:20:38.000-07:00
3000,477,atmospheric,1241396434,2009-05-03T17:20:34.000-07:00
3000,477,fantasy world,1241396427,2009-05-03T17:20:27.000-07:00
3000,477,studio ghibli,1241396420,2009-05-03T17:20:20.000-07:00
3000,477,surreal,1241396422,2009-05-03T17:20:22.000-07:00
80906,537,business,1424461859,2015-02-20T11:50:59.000-08:00
80906,537,corruption,1424461848,2015-02-20T11:50:48.000-08:00
80906,537,economics,1424461852,2015-02-20T11:50:52.000-08:00
80906,537,investor corruption,1424461854,2015-02-20T11:50:54.000-08:00
80906,537,politics,1424461849,2015-02-20T11:50:49.000-08:00
80906,537,truth,1424461857,2015-02-20T11:50:57.000-08:00
1975,474,jason,1137374129,2006-01-15T17:15:29.000-08:00
3098,474,baseball,1137201875,2006-01-13T17:24:35.000-08:00
3098,474,sports,1137201875,2006-01-13T17:24:35.000-08:00
101142,119,animation,1436563067,2015-07-10T14:17:47.000-07:00
101142,119,funny,1436563067,2015-07-10T14:17:47.000-07:00
101142,119,stone age,1436563067,2015-07-10T14:17:47.000-07:00
152711,462,cambodia,1478489688,2016-11-06T19:34:48.000-08:00
152711,462,crime,1478489709,2016-11-06T19:35:09.000-08:00
152711,462,human rights,1478489696,2016-11-06T19:34:56.000-08:00
152711,462,murder,1478489701,2016-11-06T19:35:01.000-08:00
152711,462,procedural,1478489713,2016-11-06T19:35:13.000-08:00
1223,474,moon,1137205261,2006-01-13T18:21:01.000-08:00
1977,474,jason,1137373908,2006-01-15T17:11:48.000-08:00
2249,474,mafia,1137374445,2006-01-15T17:20:45.000-08:00
3566,474,business,1137205342,2006-01-13T18:22:22.000-08:00
3566,474,religion,1137205342,2006-01-13T18:22:22.000-08:00
5682,474,holocaust,1138039189,2006-01-23T09:59:49.000-08:00
108932,567,cheeky,1525283702,2018-05-02T10:55:02.000-07:00
108932,567,clever,1525283675,2018-05-02T10:54:35.000-07:00
108932,567,colorful,1525283676,2018-05-02T10:54:36.000-07:00
108932,567,feel-good,1525283700,2018-05-02T10:55:00.000-07:00
108932,567,fun,1525283672,2018-05-02T10:54:32.000-07:00
108932,567,imaginative,1525283681,2018-05-02T10:54:41.000-07:00
108932,567,quirky,1525283678,2018-05-02T10:54:38.000-07:00
52712,573,horrible acting,1186722048,2007-08-09T22:00:48.000-07:00
52712,573,interesting,1186722060,2007-08-09T22:01:00.000-07:00
5995,18,holocaust,1455735472,2016-02-17T10:57:52.000-08:00
5995,18,true story,1455735479,2016-02-17T10:57:59.000-08:00
588,474,disney,1137180971,2006-01-13T11:36:11.000-08:00
898,474,divorce,1137206322,2006-01-13T18:38:42.000-08:00
970,474,crime,1138306770,2006-01-26T12:19:30.000-08:00
2247,474,mafia,1137374432,2006-01-15T17:20:32.000-08:00
3028,474,shakespeare,1137374544,2006-01-15T17:22:24.000-08:00
4477,474,circus,1137373669,2006-01-15T17:07:49.000-08:00
5527,474,as byatt,1138039372,2006-01-23T10:02:52.000-08:00
5527,474,books,1138039372,2006-01-23T10:02:52.000-08:00
5995,474,holocaust,1137181562,2006-01-13T11:46:02.000-08:00
6552,474,immigration,1138039559,2006-01-23T10:05:59.000-08:00
6832,474,amnesia,1138307274,2006-01-26T12:27:54.000-08:00
6890,474,adolescence,1138039574,2006-01-23T10:06:14.000-08:00
6890,474,violence in america,1138039574,2006-01-23T10:06:14.000-08:00
7584,474,hepburn and tracy,1138039906,2006-01-23T10:11:46.000-08:00
7584,474,marriage,1138039906,2006-01-23T10:11:46.000-08:00
296,103,good dialogue,1431954555,2015-05-18T06:09:15.000-07:00
296,103,great soundtrack,1431954555,2015-05-18T06:09:15.000-07:00
296,103,non-linear,1431954555,2015-05-18T06:09:15.000-07:00
4612,318,reciprocal spectator,1416086512,2014-11-15T13:21:52.000-08:00
296,424,cult film,1457844546,2016-03-12T20:49:06.000-08:00
296,424,drugs,1457844550,2016-03-12T20:49:10.000-08:00
296,424,quentin tarantino,1457844541,2016-03-12T20:49:01.000-08:00
296,424,tarantino,1457844557,2016-03-12T20:49:17.000-08:00
8950,424,christian bale,1457842841,2016-03-12T20:20:41.000-08:00
8950,424,creepy,1457842847,2016-03-12T20:20:47.000-08:00
8950,424,powerful ending,1457842857,2016-03-12T20:20:57.000-08:00
8950,424,psychology,1457842844,2016-03-12T20:20:44.000-08:00
8950,424,schizophrenia,1457842854,2016-03-12T20:20:54.000-08:00
8950,424,twist ending,1457842837,2016-03-12T20:20:37.000-08:00
296,474,hit men,1137205001,2006-01-13T18:16:41.000-08:00
1466,474,mafia,1137191577,2006-01-13T14:32:57.000-08:00
3306,474,big top,1137205399,2006-01-13T18:23:19.000-08:00
3306,474,circus,1137205399,2006-01-13T18:23:19.000-08:00
4396,474,race,1137373684,2006-01-15T17:08:04.000-08:00
8950,474,psychology,1138040138,2006-01-23T10:15:38.000-08:00
296,599,1990s,1498456537,2017-06-25T22:55:37.000-07:00
296,599,achronological,1498456475,2017-06-25T22:54:35.000-07:00
296,599,action,1498456356,2017-06-25T22:52:36.000-07:00
296,599,action packed,1498456535,2017-06-25T22:55:35.000-07:00
296,599,aggressive,1498456533,2017-06-25T22:55:33.000-07:00
296,599,amazing,1498456678,2017-06-25T22:57:58.000-07:00
296,599,amazing dialogues,1498456473,2017-06-25T22:54:33.000-07:00
296,599,anthology,1498456531,2017-06-25T22:55:31.000-07:00
296,599,assassin,1498456382,2017-06-25T22:53:02.000-07:00
296,599,atmospheric,1498456376,2017-06-25T22:52:56.000-07:00
296,599,awesome,1498456559,2017-06-25T22:55:59.000-07:00
296,599,bad ass,1498456471,2017-06-25T22:54:31.000-07:00
296,599,bad language,1498456469,2017-06-25T22:54:29.000-07:00
296,599,bad-ass,1498456676,2017-06-25T22:57:56.000-07:00
296,599,bible,1498456675,2017-06-25T22:57:55.000-07:00
296,599,biblical references,1498456529,2017-06-25T22:55:29.000-07:00
296,599,big boys with guns,1498456673,2017-06-25T22:57:53.000-07:00
296,599,big name actors,1498456671,2017-06-25T22:57:51.000-07:00
296,599,black comedy,1498456350,2017-06-25T22:52:30.000-07:00
296,599,black humor,1498456481,2017-06-25T22:54:41.000-07:00
296,599,black humour,1498456670,2017-06-25T22:57:50.000-07:00
296,599,blood,1498456448,2017-06-25T22:54:08.000-07:00
296,599,blood splatters,1498456467,2017-06-25T22:54:27.000-07:00
296,599,bloody,1498456431,2017-06-25T22:53:51.000-07:00
296,599,bruce willis,1498456352,2017-06-25T22:52:32.000-07:00
296,599,brutality,1498456543,2017-06-25T22:55:43.000-07:00
296,599,casual violence,1498456669,2017-06-25T22:57:49.000-07:00
296,599,character development,1498456527,2017-06-25T22:55:27.000-07:00
296,599,characters,1498456466,2017-06-25T22:54:26.000-07:00
296,599,classic,1498456360,2017-06-25T22:52:40.000-07:00
296,599,classic movie,1498456667,2017-06-25T22:57:47.000-07:00
296,599,coke,1498456666,2017-06-25T22:57:46.000-07:00
296,599,comedy,1498456378,2017-06-25T22:52:58.000-07:00
296,599,conversation,1498456524,2017-06-25T22:55:24.000-07:00
296,599,cool,1498456405,2017-06-25T22:53:25.000-07:00
296,599,cool style,1498456664,2017-06-25T22:57:44.000-07:00
296,599,crime,1498456353,2017-06-25T22:52:33.000-07:00
296,599,crime scene scrubbing,1498456663,2017-06-25T22:57:43.000-07:00
296,599,cult,1498456391,2017-06-25T22:53:11.000-07:00
296,599,cult classic,1498456522,2017-06-25T22:55:22.000-07:00
296,599,cult film,1498456345,2017-06-25T22:52:25.000-07:00
296,599,dance,1498456661,2017-06-25T22:57:41.000-07:00
296,599,dancing,1498456464,2017-06-25T22:54:24.000-07:00
296,599,dark,1498456404,2017-06-25T22:53:24.000-07:00
